accession_lassa,name_nuc_seq,host,year,location,country,region,lon,lat
DQ832677.1,Lassa mammarenavirus,Mastomys natalensis,NA,Guinea,Guinea,NA,-9.696645,9.945587
DQ832678.1,Lassa mammarenavirus,Mastomys natalensis,NA,Guinea,Guinea,NA,-9.696645,9.945587
DQ832679.1,Lassa mammarenavirus,Mastomys natalensis,NA,Guinea,Guinea,NA,-9.696645,9.945587
DQ832680.1,Lassa mammarenavirus,Mastomys natalensis,NA,Guinea,Guinea,NA,-9.696645,9.945587
DQ832681.1,Lassa mammarenavirus,Mastomys natalensis,NA,Guinea,Guinea,NA,-9.696645,9.945587
DQ832682.1,Lassa mammarenavirus,Mastomys natalensis,NA,Guinea,Guinea,NA,-9.696645,9.945587
DQ832683.1,Lassa mammarenavirus,Mastomys natalensis,NA,Guinea,Guinea,NA,-9.696645,9.945587
DQ832684.1,Lassa mammarenavirus,Mastomys natalensis,NA,Guinea,Guinea,NA,-9.696645,9.945587
DQ832685.1,Lassa mammarenavirus,Mastomys natalensis,NA,Guinea,Guinea,NA,-9.696645,9.945587
DQ832686.1,Lassa mammarenavirus,Mastomys natalensis,NA,Guinea,Guinea,NA,-9.696645,9.945587
DQ832687.1,Lassa mammarenavirus,Mastomys natalensis,NA,Guinea,Guinea,NA,-9.696645,9.945587
DQ832688.1,Lassa mammarenavirus,Mastomys natalensis,NA,Guinea,Guinea,NA,-9.696645,9.945587
DQ832689.1,Lassa mammarenavirus,Mastomys natalensis,NA,Guinea,Guinea,NA,-9.696645,9.945587
DQ832690.1,Lassa mammarenavirus,Mastomys natalensis,NA,Guinea,Guinea,NA,-9.696645,9.945587
DQ832691.1,Lassa mammarenavirus,Mastomys natalensis,NA,Guinea,Guinea,NA,-9.696645,9.945587
DQ832692.1,Lassa mammarenavirus,Mastomys natalensis,NA,Guinea,Guinea,NA,-9.696645,9.945587
DQ832693.1,Lassa mammarenavirus,Mastomys natalensis,NA,Guinea,Guinea,NA,-9.696645,9.945587
DQ832694.1,Lassa mammarenavirus,Mastomys natalensis,NA,Guinea,Guinea,NA,-9.696645,9.945587
DQ832695.1,Lassa mammarenavirus,Mastomys natalensis,NA,Guinea,Guinea,NA,-9.696645,9.945587
DQ832696.1,Lassa mammarenavirus,Mastomys natalensis,NA,Guinea,Guinea,NA,-9.696645,9.945587
DQ832697.1,Lassa mammarenavirus,Mastomys natalensis,NA,Guinea,Guinea,NA,-9.696645,9.945587
DQ832698.1,Lassa mammarenavirus,Mastomys natalensis,NA,Guinea,Guinea,NA,-9.696645,9.945587
DQ832699.1,Lassa mammarenavirus,Mastomys natalensis,NA,Guinea,Guinea,NA,-9.696645,9.945587
FJ824031.1,Lassa mammarenavirus,Homo sapiens,2009,"Sikasso, Mali",Mali,Sikasso,-5.6983979,11.3223834
FR832710.1,AV,NA,NA,,NA,NA,NA,NA
FR832711.1,AV,NA,NA,,NA,NA,NA,NA
FV537334.1,Lassa mammarenavirus,NA,NA,,NA,NA,NA,NA
FV537335.1,Lassa mammarenavirus,NA,NA,,NA,NA,NA,NA
FV537336.1,Lassa mammarenavirus,NA,NA,,NA,NA,NA,NA
FV537337.1,Lassa mammarenavirus,NA,NA,,NA,NA,NA,NA
FV537338.1,Lassa mammarenavirus,NA,NA,,NA,NA,NA,NA
FV537339.1,Lassa mammarenavirus,NA,NA,,NA,NA,NA,NA
FV537340.1,Lassa mammarenavirus,NA,NA,,NA,NA,NA,NA
GN354234.1,Lassa mammarenavirus,NA,NA,,NA,NA,NA,NA
GN354235.1,Lassa mammarenavirus,NA,NA,,NA,NA,NA,NA
GN354236.1,Lassa mammarenavirus,NA,NA,,NA,NA,NA,NA
GN354237.1,Lassa mammarenavirus,NA,NA,,NA,NA,NA,NA
GN354238.1,Lassa mammarenavirus,NA,NA,,NA,NA,NA,NA
GN354239.1,Lassa mammarenavirus,NA,NA,,NA,NA,NA,NA
GN354240.1,Lassa mammarenavirus,NA,NA,,NA,NA,NA,NA
GN354241.1,Lassa mammarenavirus,NA,NA,,NA,NA,NA,NA
GN354242.1,Lassa mammarenavirus,NA,NA,,NA,NA,NA,NA
GN354243.1,Lassa mammarenavirus,NA,NA,,NA,NA,NA,NA
GU481056.1,Nig05-043,Homo sapiens,2005,"Abakaliki, Nigeria",Nigeria,Abakaliki,8.112011599999999,6.323060799999999
GU481057.1,Nig05-043,Homo sapiens,2005,"Abakaliki, Nigeria",Nigeria,Abakaliki,8.112011599999999,6.323060799999999
GU481058.1,Nig05-SE40,Homo sapiens,2005,"Abakaliki, Nigeria",Nigeria,Abakaliki,8.112011599999999,6.323060799999999
GU481059.1,Nig05-SE40,Homo sapiens,2005,"Abakaliki, Nigeria",Nigeria,Abakaliki,8.112011599999999,6.323060799999999
GU481060.1,Nig07-05,Homo sapiens,2007,"Jos, Nigeria",Nigeria,Jos,8.8583309,9.896527299999999
GU481061.1,Nig07-05,Homo sapiens,2007,"Plateau State, Nigeria",Nigeria,Plateau State,9.5179488,9.2182093
GU481062.1,Nig07-05,Homo sapiens,2007,"Jos, Nigeria",Nigeria,Jos,8.8583309,9.896527299999999
GU481063.1,Nig08-02,Homo sapiens,2008,"Federal Capital Territory, Nigeria",Nigeria,Federal Capital Territory,7.1860402,8.8940691
GU481064.1,Nig08-02,Homo sapiens,2008,"Federal Capital Territory, Nigeria",Nigeria,Federal Capital Territory,7.1860402,8.8940691
GU481065.1,Nig08-02,Homo sapiens,2008,"Federal Capital Territory, Nigeria",Nigeria,Federal Capital Territory,7.1860402,8.8940691
GU481066.1,Nig08-03,Homo sapiens,2008,"Abakaliki, Nigeria",Nigeria,Abakaliki,8.112011599999999,6.323060799999999
GU481067.1,Nig08-03,Homo sapiens,2008,"Abakaliki, Nigeria",Nigeria,Abakaliki,8.112011599999999,6.323060799999999
GU481068.1,Nig08-04,Homo sapiens,2008,"Abakaliki, Nigeria",Nigeria,Abakaliki,8.112011599999999,6.323060799999999
GU481069.1,Nig08-04,Homo sapiens,2008,"Abakaliki, Nigeria",Nigeria,Abakaliki,8.112011599999999,6.323060799999999
GU481070.1,Nig08-A18,Homo sapiens,2008,"Edo, Nigeria",Nigeria,Edo,5.9304056,6.6341831000000004
GU481071.1,Nig08-A18,Homo sapiens,2008,"Edo, Nigeria",Nigeria,Edo,5.9304056,6.6341831000000004
GU481072.1,Nig08-A19,Homo sapiens,2008,"Edo, Nigeria",Nigeria,Edo,5.9304056,6.6341831000000004
GU481073.1,Nig08-A19,Homo sapiens,2008,"Edo, Nigeria",Nigeria,Edo,5.9304056,6.6341831000000004
GU481074.1,Nig08-A37,Homo sapiens,2008,"Edo, Nigeria",Nigeria,Edo,5.9304056,6.6341831000000004
GU481075.1,Nig08-A37,Homo sapiens,2008,"Edo, Nigeria",Nigeria,Edo,5.9304056,6.6341831000000004
GU481076.1,Nig08-A41,Homo sapiens,2008,"Edo, Nigeria",Nigeria,Edo,5.9304056,6.6341831000000004
GU481077.1,Nig08-A41,Homo sapiens,2008,"Edo, Nigeria",Nigeria,Edo,5.9304056,6.6341831000000004
GU481078.1,Nig08-A47,Homo sapiens,2008,"Edo, Nigeria",Nigeria,Edo,5.9304056,6.6341831000000004
GU481079.1,Nig08-A47,Homo sapiens,2008,"Edo, Nigeria",Nigeria,Edo,5.9304056,6.6341831000000004
GU573541.1,Soromba R,Mastomys natalensis,2009,"Sikasso, Mali",Mali,Sikasso,-5.6983979,11.3223834
GU573542.1,Soromba R,Mastomys natalensis,2009,"Sikasso, Mali",Mali,Sikasso,-5.6983979,11.3223834
GU573543.1,Soromba R,Mastomys natalensis,2009,"Sikasso, Mali",Mali,Sikasso,-5.6983979,11.3223834
GU573544.1,Soromba R,Mastomys natalensis,2009,"Sikasso, Mali",Mali,Sikasso,-5.6983979,11.3223834
GU573545.1,Soromba R,Mastomys natalensis,2009,"Sikasso, Mali",Mali,Sikasso,-5.6983979,11.3223834
GU573546.1,Soromba R,Mastomys natalensis,2009,"Sikasso, Mali",Mali,Sikasso,-5.6983979,11.3223834
GU573547.1,Soromba R,Mastomys natalensis,2009,"Sikasso, Mali",Mali,Sikasso,-5.6983979,11.3223834
GU573548.1,Soromba R,Mastomys natalensis,2009,"Sikasso, Mali",Mali,Sikasso,-5.6983979,11.3223834
GU573549.1,Soromba R,Mastomys natalensis,2009,"Sikasso, Mali",Mali,Sikasso,-5.6983979,11.3223834
GU573550.1,Soromba R,Mastomys natalensis,2009,"Sikasso, Mali",Mali,Sikasso,-5.6983979,11.3223834
GU573551.1,Soromba R,Mastomys natalensis,2009,"Sikasso, Mali",Mali,Sikasso,-5.6983979,11.3223834
GU573552.1,Soromba R,Mastomys natalensis,2009,"Sikasso, Mali",Mali,Sikasso,-5.6983979,11.3223834
GU830812.1,Lib04-2739,Homo sapiens,2004,Liberia,Liberia,NA,-9.429499000000002,6.428055
GU830813.1,Lib05-236/88,Homo sapiens,2005,Liberia,Liberia,NA,-9.429499000000002,6.428055
GU830814.1,Lib05-406/90,Homo sapiens,2005,Liberia,Liberia,NA,-9.429499000000002,6.428055
GU830815.1,Lib05-1580/121,Homo sapiens,2005,Liberia,Liberia,NA,-9.429499000000002,6.428055
GU830816.1,Lib05-2096/127,Homo sapiens,2005,Liberia,Liberia,NA,-9.429499000000002,6.428055
GU830817.1,Lib05-2406/129,Homo sapiens,2005,Liberia,Liberia,NA,-9.429499000000002,6.428055
GU830818.1,Lib05-3800,Homo sapiens,2005,Liberia,Liberia,NA,-9.429499000000002,6.428055
GU830819.1,Lib05-4094,Homo sapiens,2005,Liberia,Liberia,NA,-9.429499000000002,6.428055
GU830820.1,Lib06-120,Homo sapiens,2006,Liberia,Liberia,NA,-9.429499000000002,6.428055
GU830821.1,Lib06-174,Homo sapiens,2006,Liberia,Liberia,NA,-9.429499000000002,6.428055
GU830822.1,Lib06-295,Homo sapiens,2006,Liberia,Liberia,NA,-9.429499000000002,6.428055
GU830823.1,Lib06-383,Homo sapiens,2006,Liberia,Liberia,NA,-9.429499000000002,6.428055
GU830824.1,Lib06-1099,Homo sapiens,2006,Liberia,Liberia,NA,-9.429499000000002,6.428055
GU830825.1,Lib06-1101,Homo sapiens,2006,Liberia,Liberia,NA,-9.429499000000002,6.428055
GU830826.1,Lib06-1826,Homo sapiens,2006,Liberia,Liberia,NA,-9.429499000000002,6.428055
GU830827.1,Lib06-2442,Homo sapiens,2006,Liberia,Liberia,NA,-9.429499000000002,6.428055
GU830828.1,Lib07-29,Homo sapiens,2007,Liberia,Liberia,NA,-9.429499000000002,6.428055
GU830829.1,Lib07-30,Homo sapiens,2007,Liberia,Liberia,NA,-9.429499000000002,6.428055
GU830830.1,Lib07-54,Homo sapiens,2007,Liberia,Liberia,NA,-9.429499000000002,6.428055
GU830831.1,Lib07-55,Homo sapiens,2007,Liberia,Liberia,NA,-9.429499000000002,6.428055
GU830832.1,Lib07-56,Homo sapiens,2007,Liberia,Liberia,NA,-9.429499000000002,6.428055
GU830833.1,Lib07-206,Homo sapiens,2007,Liberia,Liberia,NA,-9.429499000000002,6.428055
GU830834.1,Lib07-444,Homo sapiens,2007,Liberia,Liberia,NA,-9.429499000000002,6.428055
GU830835.1,Lib07-515,Homo sapiens,2007,Liberia,Liberia,NA,-9.429499000000002,6.428055
GU830836.1,Lib07-612,Homo sapiens,2007,Liberia,Liberia,NA,-9.429499000000002,6.428055
GU830837.1,Lib07-624,Homo sapiens,2007,Liberia,Liberia,NA,-9.429499000000002,6.428055
GU830838.1,BA289,Mastomys natalensis,2003,Guinea,Guinea,NA,-9.696645,9.945587
GU830839.1,BA366,Mastomys natalensis,2003,"Bantou, Guinea",Guinea,Bantou,-10.58785,10.05058
GU830840.1,BA377,Mastomys natalensis,2003,Guinea,Guinea,NA,-9.696645,9.945587
GU830841.1,BA384,Mastomys natalensis,2003,Guinea,Guinea,NA,-9.696645,9.945587
GU830842.1,DGD43,Mastomys natalensis,2005,Guinea,Guinea,NA,-9.696645,9.945587
GU830843.1,TA491,Mastomys natalensis,2003,Guinea,Guinea,NA,-9.696645,9.945587
GU979503.1,SL26,Homo sapiens,NA,Sierra Leone,Sierra Leone,NA,-11.779889,8.460555
GU979504.1,SL25,Homo sapiens,NA,Sierra Leone,Sierra Leone,NA,-11.779889,8.460555
GU979505.1,SL21,Homo sapiens,NA,Sierra Leone,Sierra Leone,NA,-11.779889,8.460555
GU979506.1,SL15,Homo sapiens,NA,Sierra Leone,Sierra Leone,NA,-11.779889,8.460555
GU979507.1,SL06-2057,Homo sapiens,2006,Sierra Leone,Sierra Leone,NA,-11.779889,8.460555
GU979508.1,SL06-2057,Homo sapiens,2006,Sierra Leone,Sierra Leone,NA,-11.779889,8.460555
GU979509.1,Lib05-2406/129,Homo sapiens,2005,Liberia,Liberia,NA,-9.429499000000002,6.428055
GU979510.1,Lib05-2096/127,Homo sapiens,2005,Liberia,Liberia,NA,-9.429499000000002,6.428055
GU979511.1,Lib05-1580/121,Homo sapiens,2005,Liberia,Liberia,NA,-9.429499000000002,6.428055
GU979512.1,Lib05-236/88,Homo sapiens,2005,Liberia,Liberia,NA,-9.429499000000002,6.428055
GU979513.1,BA366,Mastomys natalensis,2003,"Bantou, Guinea",Guinea,Bantou,-10.58785,10.05058
HM143866.1,Nig05-A08,Homo sapiens,2005,"Ekpoma, Nigeria",Nigeria,Ekpoma,6.142094699999999,6.7429546
HM143867.1,Nig07-A09,Homo sapiens,2007,"Ekpoma, Nigeria",Nigeria,Ekpoma,6.142094699999999,6.7429546
HM143868.1,Nig07-A14,Homo sapiens,2007,"Irrua, Nigeria",Nigeria,Irrua,6.2190137,6.7393211
HM143870.1,Nig08-A34,Homo sapiens,2008,"Irrua, Nigeria",Nigeria,Irrua,6.2190137,6.7393211
HM143871.1,Nig08-A40,Homo sapiens,2008,"Uromi, Nigeria",Nigeria,Uromi,6.3279244,6.7139748
HM143872.1,Nig08-A45,Homo sapiens,2008,"Ekpoma, Nigeria",Nigeria,Ekpoma,6.142094699999999,6.7429546
HM143873.1,Nig08-A53,Homo sapiens,2008,"Iruekpen, Nigeria",Nigeria,Iruekpen,6.054683199999999,6.7573609
HM143874.1,Nig08-A55,Homo sapiens,2008,"Irrua, Nigeria",Nigeria,Irrua,6.2190137,6.7393211
HM143875.1,Nig08-A57,Homo sapiens,2008,"Lokoja, Nigeria",Nigeria,Lokoja,6.733343,7.8023204
HM143876.1,Nig08-A61,Homo sapiens,2008,"Irrua, Nigeria",Nigeria,Irrua,6.2190137,6.7393211
HM143877.1,Nig08-A64,Homo sapiens,2008,"Ekpoma, Nigeria",Nigeria,Ekpoma,6.142094699999999,6.7429546
HM143878.1,Nig08-A72,Homo sapiens,2008,"Uromi, Nigeria",Nigeria,Uromi,6.3279244,6.7139748
HM143879.1,Nig07-A76,Homo sapiens,2007,"Uromi, Nigeria",Nigeria,Uromi,6.3279244,6.7139748
HM143880.1,Nig08-A77,Homo sapiens,2008,"Ekpoma, Nigeria",Nigeria,Ekpoma,6.142094699999999,6.7429546
HM143881.1,Nig08-A80,Homo sapiens,2008,"Otu, Nigeria",Nigeria,Otu,3.4069408,8.2096956
HQ688672.1,Josiah,NA,NA,,NA,NA,NA,NA
HQ688673.1,recombinant Josiah,NA,NA,,NA,NA,NA,NA
HQ688674.1,Josiah,NA,NA,,NA,NA,NA,NA
HQ688675.1,recombinant Josiah,NA,NA,,NA,NA,NA,NA
HV540186.1,Lassa mammarenavirus,NA,NA,,NA,NA,NA,NA
J04324.1,Lassa mammarenavirus,NA,NA,,NA,NA,NA,NA
JB048532.1,Lassa mammarenavirus,NA,NA,,NA,NA,NA,NA
JB048540.1,Lassa mammarenavirus,NA,NA,,NA,NA,NA,NA
JB048543.1,Lassa mammarenavirus,NA,NA,,NA,NA,NA,NA
JC241991.1,Lassa mammarenavirus,NA,NA,,NA,NA,NA,NA
JN650517.1,Josiah,Homo sapiens,1976,"Songo Hospital, Sebgwema, Sierra Leone",Sierra Leone,"Songo Hospital, Sebgwema",-10.9524441,7.9929954
JN650518.1,Josiah,Homo sapiens,1976,"Songo Hospital, Sebgwema, Sierra Leone",Sierra Leone,"Songo Hospital, Sebgwema",-10.9524441,7.9929954
JN651366.1,Nig08-110,Homo sapiens,2008,Nigeria,Nigeria,NA,8.675277,9.081999
JN651367.1,Nig08-147,Homo sapiens,2008,"Edo State, Nigeria",Nigeria,Edo State,5.9304056,6.6341831000000004
JN651368.1,Nig08-149,Homo sapiens,2008,"Edo State, Nigeria",Nigeria,Edo State,5.9304056,6.6341831000000004
JN651369.1,Nig09-025,Homo sapiens,2009,"Edo State, Nigeria",Nigeria,Edo State,5.9304056,6.6341831000000004
