L_accession,S_accession
KM821844,MK117970
MG812637,KM821969
KU978809,MK117985
MG812649,KM821920
MG812684,KM821974
MH215288,MK107952
KM821813,MK118030
JN650518,KM821967
MK107860,KM821965
MK117932,KM821988
MG812660,KM821939
MK107866,KM822043
KT992432,MK117864
KT992433,KM821986
MK107875,KM821924
MK117889,KM821929
MK117884,MG812681
MH887907,KM822023
MK117938,MK117852
MK117933,KT992417
KM821964,MH157035
MK117878,MH053561
KM821987,MH887807
MH053570,MH887790
MH053571,MK117997
MK117888,MH887867
KM822090,MH887843
MK117930,MH887830
MK117893,MH887761
KM821968,MH887767
KM822052,MH053588
KM821917,MH053559
MG812640,MH053485
MK107861,MH053490
KM821866,KU961971
KM822114,KM822006
KM821774,MK117980
MK107842,MK118021
MK107843,KM822016
KM821926,MG812658
MK117900,KM821906
KM822094,MH887815
KM822085,MH053497
KM821881,MH887868
KM822110,KY425641
KM821807,KM821832
MG812668,MH157034
KM821793,MH053545
MG812638,MH887855
MK117925,MH887880
KM822092,MH887818
MK117926,MH887801
KM821772,MH887806
MH887927,MK117977
KM821993,MH887757
KM822106,MH887778
KM822102,MF990889
KT992429,KM822065
KT992431,KM822078
KT992430,MK117973
KT992428,MK117964
KT992427,MK117972
KT992426,KM821843
GU481071,KT992419
KM822108,MK118024
MH887950,KM822008
MH887930,KM821880
MH887937,MH887839
KM822019,MH887789
KM822087,MH887869
KM822007,KM822012
KM821893,KM822020
KM821879,KM821854
MH887961,MH053574
KM822013,MH887882
MK117866,KM821876
MG812682,MH887866
KM821821,MH887889
MG812651,KM822071
KM822003,MH887776
KT992434,MH887840
KM822083,MH887822
MH157029,MH887829
MH215280,MH887888
KM822064,MH887864
MH888004,KM821892
MH053515,KM821830
MH888001,KM821852
MH887941,MK117862
MH887956,MH053502
MH887989,MK117865
MH887902,MK118031
MH887929,MH053483
MH887939,MH887832
KM822077,MH887881
KM821891,MH887766
MH887931,MH887844
MH887915,MH887795
MH887960,MH887775
MK107885,MH887771
MK107879,MH053544
MK107896,MH053531
MK117924,MH053488
MK117827,MH887861
MH053521,MH887870
MH887973,KM822103
KM821905,KM822109
MK107884,MK117995
KM821896,KM821925
MH887916,MK107954
MH053542,KM822084
MH887992,KM822117
MK107865,MH053537
MG812646,MH887836
GU481073,MK117855
MK107871,KM821909
GU979513,KM821887
MH053565,MH053554
MK107874,MH215281
MK107846,MH887849
KM821975,MK117996
KM822079,MK117994
MH887984,MK117986
MH157042,MK117856
MH053549,MH887786
MH053579,MH887883
MH887974,MK118025
MH887945,MK118017
LC387487,KM822063
KM822075,KM821972
LC387489,MK107947
KM822058,KM821980
KM821853,MK107953
MH887954,MK107966
MH887966,MH053555
KM821829,MH887838
MH887938,KM821871
MH887940,MH887803
MH887969,MH887857
MH887998,MH053533
MH887982,MK117851
MH888003,MK117967
MH887912,MH887800
MH887996,MH887845
MH887959,MK118033
MH887943,MH887762
MH888002,MH887793
MH053512,MH887827
MH053520,MH887865
MH887947,KM821848
MH887901,KM821890
MH887919,MH887877
MH888000,MH157038
MH053505,MH887805
MH053530,MH887858
MH887955,MH887783
MH053500,MH887887
MH053548,MH887884
MH887990,MH053576
MH157033,MH887787
MH887906,MH887875
MH887962,MH887879
MH887999,KM821867
MK291252,MH887878
MH887980,KM822101
MH887967,MK117956
MH887935,KM822014
MH887958,MH887848
MH887979,KM821877
MH887981,MH053551
MH053547,KM822059
MH887903,MF990888
MH053529,MK117979
MH887964,KM822080
MH053496,MH887841
MH887922,MH887804
MH887993,MH887763
MK117937,KM822089
MH053499,KM821992
MK117842,MH053577
MH157053,KM822093
LC387471,MH053575
LC387485,MH887768
KM821903,KM821994
MK107883,MH887896
MH157048,MH887791
MK281629,MH053538
MH887942,GU481074
MH887987,MH157032
LC387469,MK107963
LC387483,MH887758
LC387475,MH887756
KM822096,MK107948
KM821868,MK107969
LC387479,MH887808
MH887926,MH887831
MH053473,MH887777
MH887957,MH053506
LC387473,MH053560
LC387481,KM822004
MK117905,MK117998
LC387477,MK117861
MK117913,MK107942
MH053492,GU830839
MK117837,MK107929
KM822121,MH053476
KM822116,GU481072
KM822112,GU481070
MH157031,MK107924
MH887949,GU481068
MH053568,GU481078
MH053503,GU481076
MK117895,MK107958
MH887986,MK117971
MH887944,KT992424
MH053489,MK107968
MH887920,MK107921
MH887985,MK107945
MH053517,KT992422
MH053516,KT992423
MH887946,MK107930
MH157047,MK107910
MK117923,MK107914
MH887988,MK107917
MK117867,MK107931
MH053543,MK107933
MH053519,MK107932
MH887933,MK107949
MH887934,MK107935
MH053585,MK117959
MH053507,MK107967
MK117831,MK118020
MK107872,MK107955
MG812674,KM821904
MT199234,KM822076
MT199233,MK117976
MT199227,KM822126
MT199231,MK117949
MT199230,MH053518
MT199229,MH053478
MT199228,MK117961
MT199226,MK107925
MT199235,MH887851
KM822127,KM822067
MT199232,MH887894
MK107856,MK117846
MK107876,MK118026
MK107859,MK118029
MK107855,MK118002
MK107877,MH887764
MK107878,KM822095
MT861993,MK107900
KT992435,MH887785
MH053479,KM821878
MH053469,MK107934
MH053465,KM822010
MH053590,KM821790
MH053471,KM821885
MK117829,MH887769
MH053524,MK118003
MH053477,MH053528
MH053558,MK118011
KF478763,MH053582
MH053486,MK291249
KF478764,MK118014
MK291251,MK117984
MH053539,MK117958
MH053540,KM822097
MK044799,MH887784
MK656391,MH887872
MK656398,MH887779
MK656397,MH887772
MK656396,MH887770
MK656400,MH887819
MK656399,MH887873
MK656390,MH887885
MK656402,MH053487
MK656394,MH887846
MK656395,MH887897
MK656393,MH157050
MK656392,MH053580
MK656401,KM821869
MH053464,MK118034
MH053541,MK117966
MH053495,MK118019
MH053583,MK118001
MH053510,MH887890
MH053467,MH887825
,MH887798
,MK117848
,MK291248
,MH887773
,MH887792
,MH887874
,MH157045
,MH887847
,MH887802
,KM822066
,MK118008
,MH887853
,MH887811
,MH157028
,MH887895
,MH887760
,MH887852
,MH053589
,KM821872
,MH157041
,MH053484
,MH157037
,MH887892
,MK118010
,MH053567
,MK107959
,MG812677
,MH053553
,MH887828
,MH887821
,MH887816
,MH887834
,MH887799
,MG812657
,MH887837
,MH887860
,MK107960
,MK117853
,MH053552
,MK107951
,MK281627
,MH053501
,MH887788
,MK117974
,LC387472
,LC387470
,MK107927
,MH157044
,MH887796
,MH887759
,KM821907
,MK117860
,MH053527
,LC387468
,MK117993
,LC387474
,MH887823
,KM822060
,MH053522
,MH887833
,MH887817
,MH887856
,MH053474
,MH053472
,MH887893
,MH887835
,MH887774
,KM821895
,MK117849
,MH053480
,LC387482
,MH053482
,LC387484
,LC387476
,MH053468
,MK117989
,LC387478
,LC387486
,MH053572
,MH887820
,MK117951
,MH887824
,MH053475
,MH053470
,LC387488
,MH053557
,MH887863
,MH053463
,MK118013
,LC387480
,KM821910
,MH887810
,MH887871
,MH887813
,MK107946
,KT992425
,MH887809
,MH887886
,KM821886
,MH887782
,MH053584
,MK117950
,MH887794
,MH887891
,MH887781
,MK118038
,MH887876
